gap_mil,s_over_h,peak_pos_mV,peak_neg_mV,peak_abs_mV,Z_even_ohm,Z_odd_ohm,Z_geometric_mean_ohm
4,1.3333333333333333,0.10299275254718214,-33.4600944652749,33.4600944652749,66.43221916495982,54.43762013871481,60.13661041224333
5,1.6666666666666667,0.010279242098517409,-28.69172667191572,28.69172667191572,65.03031550839246,56.03803809655515,60.36697191254749
6,2.0,0.08574558235870809,-24.491299159285024,24.491299159285024,64.01964827041596,57.14579225805702,60.48515123974701
8,2.6666666666666665,0.06985035977585462,-17.69202973867337,17.69202973867337,62.728414290339984,58.51467540129637,60.58492222192981
10,3.3333333333333335,0.04541327509994086,-12.720226859928998,12.720226859928998,61.990428259361806,59.2762968083588,60.618174046891276
12,4.0,0.09635243044830503,-9.160211204057317,9.160211204057317,61.54201503955537,59.730775063841286,60.629631842055744
16,5.333333333333333,0.07885564479667923,-4.788284022993934,4.788284022993934,61.063431167464806,60.20112655774544,60.630745894824074
20,6.666666666666667,0.02858350998717282,-2.5224535993178288,2.5224535993178288,60.834202369332985,60.403155010115434,60.61829555201591
