h_mil,W_mil,S_mil,Z_even_ohm,Z_odd_ohm,Zgm_ohm,far_abs_mV,far_neg_mV,near_abs_mV,near_pos_mV
2.0,2.890625,4.0,62.82191738668744,55.26922192618354,58.92468492807744,27.454036247395795,-27.454036247395795,20.456660263253518,20.456660263253518
3.0,4.09375,4.0,66.43221916495982,54.43762013871481,60.13661041224333,33.4600944652749,-33.4600944652749,30.494233512603156,30.494233512603156
4.0,5.46875,4.0,68.34626092843246,52.99278403967287,60.18187970892529,35.051334378647006,-35.051334378647006,37.787553457976784,37.787553457976784
5.0,6.5,4.0,69.11315173675098,51.45723627933991,59.635323248288564,33.76669082293997,-33.76669082293997,43.004333019603685,43.004333019603685
6.0,7.53125,4.0,70.3756061243913,50.70362816256016,59.73523721092876,31.523644579077082,-31.523644579077082,47.37121502022454,47.37121502022454
