half_width_mil,top_mil,C11_pF_per_m,Cmutual_pF_per_m,Z_even_ohm,Z_odd_ohm,Zgm_ohm,peak_far_abs_mV,peak_near_abs_mV
30.0,20.0,96.67959566777904,7.0685576328311335,66.43221916495982,54.43762013871481,60.13661041224333,33.4600944652749,30.494233512603156
45.0,30.0,96.42919015406451,7.280037259843766,67.25862590753515,54.485514860626694,60.53611204388945,37.2840602641957,32.35840299819002
60.0,40.0,96.34983416397881,7.353322156240936,67.55032851805156,54.49362069267171,60.67175603135339,38.71855866771376,33.05105605137391
