height_mil,width_mil,gap_mil,peak_pos_mV,peak_neg_mV,peak_abs_mV,Z_even_ohm,Z_odd_ohm,Z_geometric_mean_ohm
2.0,4.0,4.0,0.10138390170940048,-23.50887319809671,23.50887319809671,50.98466616255165,45.3204564534503,48.069203681917
3.0,4.0,4.0,0.10299275254718214,-33.4600944652749,33.4600944652749,66.43221916495982,54.43762013871481,60.13661041224333
4.0,4.0,4.0,0.006137712544419983,-40.40931702557625,40.40931702557625,78.9820178582738,59.90714472106033,68.78653337824912
5.0,4.0,4.0,0.0014392286601989772,-45.24012705291617,45.24012705291617,89.32020097617215,63.30654318601373,75.19676296544598
6.0,4.0,4.0,0.0999623717824532,-48.35288962780772,48.35288962780772,97.8137061458881,65.48720234198043,80.03465478275514
