case,W_mil,S_mil,h_mil,Z_even_ohm,Z_odd_ohm,Zgm_ohm,far_pos_mV,far_neg_mV,far_abs_mV,near_pos_mV,near_neg_mV,near_abs_mV,far_reduction_vs_baseline_pct
Baseline,4.0,4.0,3.0,66.43221916495982,54.43762013871481,60.13661041224333,0.10299275254718214,-33.4600944652749,33.4600944652749,30.494233512603156,-9.732161431533162e-06,30.494233512603156,0.0
Spacing-only,4.09375,8.0,3.0,62.728414290339984,58.51467540129637,60.58492222192981,0.06985035977585462,-17.69202973867337,17.69202973867337,11.987992994865838,-1.1111744048528011e-05,11.987992994865838,47.12498568396371
Plane-only,2.890625,4.0,2.0,62.82191738668744,55.26922192618354,58.92468492807744,0.08726574899790422,-27.454036247395795,27.454036247395795,20.456660263253518,-1.9049977055256564e-06,20.456660263253518,17.949914110709493
Combined,2.890625,8.0,2.0,60.28434824182118,57.937939036797374,59.09949994126599,0.09334716642880354,-12.153957801189398,12.153957801189398,7.079092711657978,-2.500351362560236e-06,7.079092711657978,63.67625974934753
