time_ns,victim_mV,aggressor_mV,source_V
0.5,0.000150364893,-3.19135016e-06,0
0.501,-0.000150534882,3.19670064e-06,0
0.502,0.000150705236,-3.20206708e-06,0
0.503,-0.000150875957,3.20744886e-06,0
0.504,0.000151047045,-3.2128467e-06,0
0.505,-0.000151218502,3.21826027e-06,0
0.506,0.00015139033,-3.22368987e-06,0
0.507,-0.000151562529,3.22913514e-06,0
0.508,0.0001517351,-3.23459673e-06,0
0.509,-0.000151908045,3.24007443e-06,0
0.51,0.000152081365,-3.24556819e-06,0
0.511,-0.000152255061,3.25107809e-06,0
0.512,0.000152429135,-3.25660447e-06,0
0.513,-0.000152603587,3.26214722e-06,0
0.514,0.000152778418,-3.2677062e-06,0
0.515,-0.000152953631,3.27328192e-06,0
0.516,0.000153129227,-3.2788742e-06,0
0.517,-0.000153305205,3.28448299e-06,0
0.518,0.000153481569,-3.29010866e-06,0
0.519,-0.000153658318,3.29575081e-06,0
0.52,0.000153835455,-3.30141006e-06,0
0.521,-0.00015401298,3.30708633e-06,0
0.522,0.000154190895,-3.31277947e-06,0
0.523,-0.000154369201,3.31848958e-06,0
0.524,0.0001545479,-3.32421696e-06,0
0.525,-0.000154726992,3.32996135e-06,0
0.526,0.000154906479,-3.33572325e-06,0
0.527,-0.000155086362,3.34150232e-06,0
0.528,0.000155266643,-3.34729899e-06,0
0.529,-0.000155447323,3.35311312e-06,0
0.53,0.000155628402,-3.35894479e-06,0
0.531,-0.000155809884,3.36479404e-06,0
0.532,0.000155991768,-3.37066117e-06,0
0.533,-0.000156174056,3.37654582e-06,0
0.534,0.00015635675,-3.3824486e-06,0
0.535,-0.00015653985,3.38836931e-06,0
0.536,0.000156723359,-3.39430786e-06,0
0.537,-0.000156907277,3.40026479e-06,0
0.538,0.000157091606,-3.40623971e-06,0
0.539,-0.000157276348,3.41223293e-06,0
0.54,0.000157461503,-3.41824462e-06,0
0.541,-0.000157647073,3.42427435e-06,0
0.542,0.000157833059,-3.43032294e-06,0
0.543,-0.000158019464,3.43638995e-06,0
0.544,0.000158206287,-3.4424756e-06,0
0.545,-0.000158393531,3.44857994e-06,0
0.546,0.000158581197,-3.45470323e-06,0
0.547,-0.000158769286,3.46084536e-06,0
0.548,0.0001589578,-3.46700654e-06,0
0.549,-0.000159146741,3.47318661e-06,0
0.55,0.000159336109,-3.47938589e-06,0
0.551,-0.000159525907,3.48560437e-06,0
0.552,0.000159716134,-3.49184209e-06,0
0.553,-0.000159906795,3.49809938e-06,0
0.554,0.000160097888,-3.504376e-06,0
0.555,-0.000160289417,3.5106722e-06,0
0.556,0.000160481382,-3.51698824e-06,0
0.557,-0.000160673785,3.52332369e-06,0
0.558,0.000160866627,-3.52967917e-06,0
0.559,-0.00016105991,3.5360543e-06,0
0.56,0.000161253636,-3.54244965e-06,0
0.561,-0.000161447805,3.54886509e-06,0
0.562,0.00016164242,-3.55530036e-06,0
0.563,-0.000161837483,3.56175635e-06,0
0.564,0.000162032993,-3.56823231e-06,0
0.565,-0.000162228954,3.5747288e-06,0
0.566,0.000162425366,-3.58124594e-06,0
0.567,-0.000162622232,3.58778358e-06,0
0.568,0.000162819552,-3.59434188e-06,0
0.569,-0.000163017328,3.60092098e-06,0
0.57,0.000163215562,-3.60752107e-06,0
0.571,-0.000163414256,3.61414194e-06,0
0.572,0.00016361341,-3.62078409e-06,0
0.573,-0.000163813028,3.6274474e-06,0
0.574,0.000164013109,-3.63413183e-06,0
0.575,-0.000164213656,3.64083756e-06,0
0.576,0.000164414671,-3.64756482e-06,0
0.577,-0.000164616155,3.65431378e-06,0
0.578,0.000164818109,-3.66108407e-06,0
0.579,-0.000165020536,3.66787628e-06,0
0.58,0.000165223437,-3.67469027e-06,0
0.581,-0.000165426813,3.68152628e-06,0
0.582,0.000165630666,-3.68838424e-06,0
0.583,-0.000165834999,3.69526422e-06,0
0.584,0.000166039812,-3.70216661e-06,0
0.585,-0.000166245108,3.70909133e-06,0
0.586,0.000166450887,-3.7160383e-06,0
0.587,-0.000166657153,3.7230079e-06,0
0.588,0.000166863905,-3.73000021e-06,0
0.589,-0.000167071147,3.737015e-06,0
0.59,0.00016727888,-3.74405287e-06,0
0.591,-0.000167487105,3.75111342e-06,0
0.592,0.000167695825,-3.75819739e-06,0
0.593,-0.00016790504,3.76530428e-06,0
0.594,0.000168114754,-3.7724343e-06,0
0.595,-0.000168324967,3.77958791e-06,0
0.596,0.000168535682,-3.78676492e-06,0
0.597,-0.0001687469,3.79396534e-06,0
0.598,0.000168958623,-3.80118972e-06,0
0.599,-0.000169170852,3.80843759e-06,0
0.6,0.00016938359,-3.81570946e-06,0
0.601,-0.000169596839,3.82300555e-06,0
0.602,0.000169810599,-3.83032552e-06,0
0.603,-0.000170024874,3.83766967e-06,0
0.604,0.000170239665,-3.84503848e-06,0
0.605,-0.000170454973,3.85243124e-06,0
0.606,0.000170670801,-3.85984909e-06,0
0.607,-0.000170887151,3.86729124e-06,0
0.608,0.000171104024,-3.87475847e-06,0
0.609,-0.000171321422,3.88225049e-06,0
0.61,0.000171539347,-3.88976733e-06,0
0.611,-0.000171757802,3.89730961e-06,0
0.612,0.000171976787,-3.90487713e-06,0
0.613,-0.000172196305,3.91246989e-06,0
0.614,0.000172416358,-3.92008816e-06,0
0.615,-0.000172636948,3.92773197e-06,0
0.616,0.000172858077,-3.93540164e-06,0
0.617,-0.000173079746,3.94309715e-06,0
0.618,0.000173301958,-3.9508187e-06,0
0.619,-0.000173524715,3.95856606e-06,0
0.62,0.000173748018,-3.96634001e-06,0
0.621,-0.00017397187,3.97414e-06,0
0.622,0.000174196272,-3.98196662e-06,0
0.623,-0.000174421228,3.9898197e-06,0
0.624,0.000174646738,-3.99769955e-06,0
0.625,-0.000174872804,4.0056065e-06,0
0.626,0.00017509943,-4.01354e-06,0
0.627,-0.000175326616,4.02150081e-06,0
0.628,0.000175554365,-4.02948896e-06,0
0.629,-0.00017578268,4.03750422e-06,0
0.63,0.000176011561,-4.04554715e-06,0
0.631,-0.000176241011,4.05361758e-06,0
0.632,0.000176471033,-4.06171584e-06,0
0.633,-0.000176701628,4.06984191e-06,0
0.634,0.000176932799,-4.0779962e-06,0
0.635,-0.000177164548,4.08617847e-06,0
0.636,0.000177396876,-4.09438898e-06,0
0.637,-0.000177629787,4.10262808e-06,0
0.638,0.000177863282,-4.11089551e-06,0
0.639,-0.000178097363,4.1191917e-06,0
0.64,0.000178332032,-4.1275169e-06,0
0.641,-0.000178567293,4.13587092e-06,0
0.642,0.000178803146,-4.14425409e-06,0
0.643,-0.000179039595,4.1526666e-06,0
0.644,0.000179276641,-4.16110843e-06,0
0.645,-0.000179514287,4.16957971e-06,0
0.646,0.000179752535,-4.17808081e-06,0
0.647,-0.000179991387,4.1866116e-06,0
0.648,0.000180230846,-4.19517245e-06,0
0.649,-0.000180470914,4.20376356e-06,0
0.65,0.000180711593,-4.21238476e-06,0
0.651,-0.000180952885,4.22103646e-06,0
0.652,0.000181194793,-4.22971871e-06,0
0.653,-0.00018143732,4.23843144e-06,0
0.654,0.000181680467,-4.24717536e-06,0
0.655,-0.000181924237,4.25594995e-06,0
0.656,0.000182168632,-4.26475619e-06,0
0.657,-0.000182413655,4.27359344e-06,0
0.658,0.000182659308,-4.28246225e-06,0
0.659,-0.000182905593,4.29136272e-06,0
0.66,0.000183152513,-4.3002949e-06,0
0.661,-0.000183400071,4.30925903e-06,0
0.662,0.000183648269,-4.31825517e-06,0
0.663,-0.000183897109,4.32728371e-06,0
0.664,0.000184146594,-4.33634467e-06,0
0.665,-0.000184396726,4.34543829e-06,0
0.666,0.000184647507,-4.35456458e-06,0
0.667,-0.000184898942,4.36372381e-06,0
0.668,0.000185151031,-4.37291615e-06,0
0.669,-0.000185403777,4.38214162e-06,0
0.67,0.000185657183,-4.39140072e-06,0
0.671,-0.000185911252,4.40069309e-06,0
0.672,0.000186165986,-4.41001934e-06,0
0.673,-0.000186421388,4.4193797e-06,0
0.674,0.00018667746,-4.42877388e-06,0
0.675,-0.000186934205,4.43820261e-06,0
0.676,0.000187191626,-4.44766572e-06,0
0.677,-0.000187449725,4.45716332e-06,0
0.678,0.000187708504,-4.46669567e-06,0
0.679,-0.000187967968,4.47626297e-06,0
0.68,0.000188228117,-4.4858655e-06,0
0.681,-0.000188488956,4.49550336e-06,0
0.682,0.000188750486,-4.50517669e-06,0
0.683,-0.000189012711,4.51488574e-06,0
0.684,0.000189275633,-4.52463068e-06,0
0.685,-0.000189539256,4.53441154e-06,0
0.686,0.00018980358,-4.54422877e-06,0
0.687,-0.000190068611,4.55408242e-06,0
0.688,0.00019033435,-4.56397251e-06,0
0.689,-0.0001906008,4.57389966e-06,0
0.69,0.000190867964,-4.58386354e-06,0
0.691,-0.000191135845,4.5938648e-06,0
0.692,0.000191404445,-4.60390347e-06,0
0.693,-0.000191673769,4.61397941e-06,0
0.694,0.000191943818,-4.62409336e-06,0
0.695,-0.000192214596,4.63424517e-06,0
0.696,0.000192486105,-4.644435e-06,0
0.697,-0.000192758348,4.65466347e-06,0
0.698,0.000193031329,-4.66493025e-06,0
0.699,-0.00019330505,4.67523591e-06,0
0.7,0.000193579514,-4.68558058e-06,0
0.701,-0.000193854725,4.69596434e-06,0
0.702,0.000194130685,-4.70638742e-06,0
0.703,-0.000194407398,4.71685008e-06,0
0.704,0.000194684866,-4.72735252e-06,0
0.705,-0.000194963092,4.73789506e-06,0
0.706,0.000195242081,-4.74847756e-06,0
0.707,-0.000195521834,4.75910077e-06,0
0.708,0.000195802355,-4.76976447e-06,0
0.709,-0.000196083647,4.78046913e-06,0
0.71,0.000196365713,-4.79121469e-06,0
0.711,-0.000196648557,4.80200156e-06,0
0.712,0.000196932181,-4.81282994e-06,0
0.713,-0.000197216589,4.8237002e-06,0
0.714,0.000197501784,-4.83461213e-06,0
0.715,-0.00019778777,4.84556634e-06,0
0.716,0.000198074549,-4.85656304e-06,0
